人,关联单号,日期,金额
研发_员工1,TA010,2026-06-01,120.5
研发_员工4,TA011,2026-06-02,95.3
行政_员工1,TA012,2026-06-03,88.0
销售_员工3,TB001,2026-06-05,680.0
销售_员工4,TB001,2026-06-05,680.0
销售_员工3,TB002,2026-06-08,720.0
销售_员工4,TB002,2026-06-08,720.0
销售_员工3,TB003,2026-06-12,590.0
销售_员工4,TB003,2026-06-12,590.0
销售_员工3,TB004,2026-06-15,610.0
销售_员工4,TB004,2026-06-15,610.0
销售_员工3,TB005,2026-06-18,650.0
销售_员工4,TB005,2026-06-18,650.0
行政_员工3,TC001,2026-06-01,100.0
行政_员工3,TC002,2026-06-05,200.0
行政_员工3,TC003,2026-06-09,150.0
行政_员工3,TC004,2026-06-13,300.0
行政_员工3,TC005,2026-06-17,250.0
行政_员工3,TC006,2026-06-21,180.0
