人,岗位,金额,日期,类型
销售_员工1,销售,949.01,2026-04-20,招待费
销售_员工1,销售,758.52,2026-03-31,招待费
销售_员工1,销售,729.75,2026-01-09,招待费
销售_员工1,销售,729.76,2026-05-10,招待费
销售_员工1,销售,1273.76,2026-01-04,招待费
销售_员工1,销售,1030.23,2026-05-26,招待费
销售_员工1,销售,659.16,2026-01-28,招待费
销售_员工1,销售,962.77,2026-01-28,招待费
销售_员工2,销售,872.59,2026-03-06,招待费
销售_员工2,销售,226.02,2026-02-13,招待费
销售_员工2,销售,496.15,2026-02-13,招待费
销售_员工2,销售,894.27,2026-02-24,招待费
销售_员工2,销售,1239.69,2026-01-30,招待费
销售_员工2,销售,732.27,2026-03-19,招待费
销售_员工2,销售,636.69,2026-04-02,招待费
销售_员工2,销售,833.28,2026-01-26,招待费
销售_员工3,销售,619.81,2026-04-13,招待费
销售_员工3,销售,712.49,2026-03-08,招待费
销售_员工3,销售,795.95,2026-01-06,招待费
销售_员工3,销售,482.69,2026-05-17,招待费
销售_员工3,销售,1046.76,2026-02-16,招待费
销售_员工3,销售,433.75,2026-03-20,招待费
销售_员工3,销售,401.54,2026-05-26,招待费
销售_员工3,销售,859.06,2026-04-27,招待费
销售_员工4,销售,1021.54,2026-01-14,招待费
销售_员工4,销售,851.41,2026-01-30,招待费
销售_员工4,销售,765.31,2026-02-28,招待费
销售_员工4,销售,709.67,2026-02-10,招待费
销售_员工4,销售,661.81,2026-02-12,招待费
销售_员工4,销售,1117.14,2026-03-23,招待费
销售_员工4,销售,897.23,2026-01-12,招待费
销售_员工4,销售,684.48,2026-05-29,招待费
销售_员工5,销售,596.92,2026-01-01,招待费
销售_员工5,销售,983.5,2026-05-03,招待费
销售_员工5,销售,1109.3,2026-04-26,招待费
销售_员工5,销售,1079.38,2026-01-12,招待费
销售_员工5,销售,548.23,2026-05-10,招待费
销售_员工5,销售,707.24,2026-04-04,招待费
销售_员工5,销售,656.25,2026-02-16,招待费
销售_员工5,销售,744.3,2026-02-18,招待费
研发_员工1,研发,198.75,2026-05-14,招待费
研发_员工1,研发,231.37,2026-03-12,招待费
研发_员工1,研发,171.7,2026-04-25,招待费
研发_员工1,研发,111.29,2026-03-26,招待费
研发_员工1,研发,147.85,2026-03-20,招待费
研发_员工1,研发,243.88,2026-03-06,招待费
研发_员工1,研发,155.22,2026-02-17,招待费
研发_员工1,研发,132.06,2026-03-18,招待费
研发_员工2,研发,136.82,2026-03-03,招待费
研发_员工2,研发,171.43,2026-04-24,招待费
研发_员工2,研发,101.49,2026-05-20,招待费
研发_员工2,研发,119.89,2026-05-02,招待费
研发_员工2,研发,204.92,2026-05-01,招待费
研发_员工2,研发,169.73,2026-01-28,招待费
